,id,name
117,downtempo,downtempo
118,shiver-pop,shiver pop
119,canadian-trap,canadian trap
120,florida-rap,florida rap
121,miami-hip-hop,miami hip hop
122,kentucky-hip-hop,kentucky hip hop
123,meme-rap,meme rap
124,album-rock,album rock
125,mellow-gold,mellow gold
126,soft-rock,soft rock
127,yacht-rock,yacht rock
128,australian-electropop,australian electropop
129,australian-indie,australian indie
130,scandipop,scandipop
131,alte,alte
132,swedish-electropop,swedish electropop
133,swedish-pop,swedish pop
134,uk-contemporary-r-b,uk contemporary r&b
135,eurodance,eurodance
136,new-jersey-rap,new jersey rap
137,deep-groove-house,deep groove house
138,bassline,bassline
139,candy-pop,candy pop
140,metropopolis,metropopolis
141,neo-mellow,neo mellow
142,deep-euro-house,deep euro house
143,deep-house,deep house
144,german-dance,german dance
145,alternative-rock,alternative rock
146,dance-rock,dance rock
147,permanent-wave,permanent wave
148,new-french-touch,new french touch
149,bboy,bboy
150,instrumental-funk,instrumental funk
151,modern-funk,modern funk
152,channel-islands-indie,channel islands indie
153,vapor-soul,vapor soul
154,east-coast-hip-hop,east coast hip hop
155,chicago-house,chicago house
156,classic-house,classic house
157,disco-house,disco house
158,funky-house,funky house
159,hip-house,hip house
160,soulful-house,soulful house
161,vocal-house,vocal house
162,grime,grime
163,london-rap,london rap
164,uk-alternative-hip-hop,uk alternative hip hop
165,uk-hip-hop,uk hip hop
166,dutch-house,dutch house
167,dutch-pop,dutch pop
168,electro-pop-francais,electro-pop francais
169,shimmer-pop,shimmer pop
170,mexican-pop,mexican pop
171,puerto-rican-pop,puerto rican pop
172,rap-latina,rap latina
173,trap-queen,trap queen
174,reggaeton-flow,reggaeton flow
175,latin-hip-hop,latin hip hop
176,cumbia-pop,cumbia pop
177,champeta,champeta
178,tropical,tropical
179,vallenato,vallenato
180,electro-latino,electro latino
181,argentine-telepop,argentine telepop
182,pop-argentino,pop argentino
183,cubaton,cubaton
184,dominican-pop,dominican pop
185,modern-salsa,modern salsa
186,salsa,salsa
187,rock-en-espanol,rock en espanol
188,cumbia-paraguaya,cumbia paraguaya
189,latin-arena-pop,latin arena pop
190,panamanian-pop,panamanian pop
191,pop-reggaeton,pop reggaeton
192,cumbia-villera,cumbia villera
193,modern-reggae,modern reggae
194,reggae,reggae
195,reggae-fusion,reggae fusion
196,roots-reggae,roots reggae
197,cumbia-chilena,cumbia chilena
198,canto-popular-uruguayo,canto popular uruguayo
199,cumbia-uruguaya,cumbia uruguaya
200,argentine-rock,argentine rock
201,folklore-argentino,folklore argentino
202,spanish-pop,spanish pop
203,german-pop,german pop
204,danish-electronic,danish electronic
205,belgian-edm,belgian edm
206,austropop,austropop
207,graz-indie,graz indie
208,volkspop,volkspop
209,german-hip-hop,german hip hop
210,hamburg-hip-hop,hamburg hip hop
211,german-drill,german drill
212,swedish-tropical-house,swedish tropical house
213,antideutsche,antideutsche
214,deep-german-hip-hop,deep german hip hop
215,partyschlager,partyschlager
216,pop-nacional,pop nacional
217,brazilian-edm,brazilian edm
218,nova-mpb,nova mpb
219,a-cappella,a cappella
220,la-pop,la pop
221,nyc-pop,nyc pop
222,chicano-rap,chicano rap
223,albanian-hip-hop,albanian hip hop
224,french-indie-pop,french indie pop
225,russian-dance,russian dance
226,russian-edm,russian edm
227,russian-pop,russian pop
228,dutch-hip-hop,dutch hip hop
229,dutch-rap-pop,dutch rap pop
230,schlager,schlager
231,women-s-music,women's music
232,swedish-indie-pop,swedish indie pop
233,swedish-synthpop,swedish synthpop
234,australian-hip-hop,australian hip hop
235,australian-talent-show,australian talent show
236,australian-trap,australian trap
237,alternative-dance,alternative dance
238,dream-pop,dream pop
239,beatboxing,beatboxing
240,belgian-dance,belgian dance
241,progressive-electro-house,progressive electro house
242,ninja,ninja
243,belgian-pop,belgian pop
244,uk-alternative-pop,uk alternative pop
245,sky-room,sky room
246,classic-hardstyle,classic hardstyle
247,euphoric-hardstyle,euphoric hardstyle
248,belgian-indie,belgian indie
249,kleinkunst,kleinkunst
250,seattle-hip-hop,seattle hip hop
251,icelandic-indie,icelandic indie
252,icelandic-rock,icelandic rock
253,jazz-blues,jazz blues
254,memphis-soul,memphis soul
255,southern-soul,southern soul
256,funk-carioca,funk carioca
257,funk-ostentacao,funk ostentacao
258,funk-paulista,funk paulista
259,sertanejo,sertanejo
260,sertanejo-universitario,sertanejo universitario
261,forro,forro
262,sertanejo-pop,sertanejo pop
263,funk-pop,funk pop
264,pagode-baiano,pagode baiano
265,funk-das-antigas,funk das antigas
266,deep-funk-ostentacao,deep funk ostentacao
267,pagode,pagode
268,brega-funk,brega funk
269,brazilian-hip-hop,brazilian hip hop
270,brazilian-rock,brazilian rock
271,axe,axe
272,mpb,mpb
273,samba-reggae,samba reggae
274,funk-consciente,funk consciente
275,folk-brasileiro,folk brasileiro
276,r-b-brasileiro,r&b brasileiro
277,trap-brasileiro,trap brasileiro
278,pop-rap-brasileiro,pop rap brasileiro
279,rap-cearense,rap cearense
280,canadian-electronic,canadian electronic
281,vapor-twitch,vapor twitch
282,future-bass,future bass
283,deep-tropical-house,deep tropical house
284,chilean-rock,chilean rock
285,trap-boricua,trap boricua
286,chicha,chicha
287,latin-alternative,latin alternative
288,latin-rock,latin rock
289,nueva-cancion,nueva cancion
290,francoton,francoton
291,french-pop,french pop
292,reggaeton-chileno,reggaeton chileno
293,dembow,dembow
294,rap-dominicano,rap dominicano
295,chilean-indie,chilean indie
296,pop-chileno,pop chileno
297,musica-popular-colombiana,musica popular colombiana
298,vallenato-moderno,vallenato moderno
299,perreo,perreo
300,classic-venezuelan-pop,classic venezuelan pop
301,cumbia,cumbia
302,jazz-venezolano,jazz venezolano
303,salsa-colombiana,salsa colombiana
304,folclor-afrocolombiano,folclor afrocolombiano
305,classic-colombian-pop,classic colombian pop
306,salsa-international,salsa international
307,salsa-venezolana,salsa venezolana
308,latin-jazz,latin jazz
309,porro,porro
310,ecuadorian-pop,ecuadorian pop
311,pop-costarricense,pop costarricense
312,cantautor,cantautor
313,bachata,bachata
314,latin-afrobeat,latin afrobeat
315,puerto-rican-rock,puerto rican rock
316,rap-conciencia,rap conciencia
317,gauze-pop,gauze pop
318,mexican-rock,mexican rock
319,german-jazz-rap,german jazz rap
320,oldschool-deutschrap,oldschool deutschrap
321,cologne-hip-hop,cologne hip hop
322,german-reggae,german reggae
323,german-pop-rock,german pop rock
324,alternative-metal,alternative metal
325,nu-metal,nu metal
326,rap-metal,rap metal
327,danish-hip-hop,danish hip hop
328,dakke-dak,dakke dak
329,danish-metal,danish metal
330,danish-rock,danish rock
331,canadian-singer-songwriter,canadian singer-songwriter
332,classic-canadian-rock,classic canadian rock
333,heartland-rock,heartland rock
334,scandinavian-r-b,scandinavian r&b
335,canadian-electropop,canadian electropop
336,french-hip-hop,french hip hop
337,rap-conscient,rap conscient
338,colombian-rock,colombian rock
339,pop-venezolano,pop venezolano
340,spanish-pop-rock,spanish pop rock
341,melbourne-bounce-international,melbourne bounce international
342,finnish-dance-pop,finnish dance pop
343,finnish-hip-hop,finnish hip hop
344,finnish-pop,finnish pop
345,iskelma,iskelma
346,suomi-rock,suomi rock
347,finnish-trap,finnish trap
348,suomirap,suomirap
349,eurovision,eurovision
350,nordic-house,nordic house
351,europop,europop
352,finnish-edm,finnish edm
353,trance,trance
354,finnish-indie,finnish indie
355,dutch-trance,dutch trance
356,spanish-reggae,spanish reggae
357,classic-iskelma,classic iskelma
358,finnish-pop-punk,finnish pop punk
359,pop-urbaine,pop urbaine
360,drill-francais,drill francais
361,rap-francais,rap francais
362,trap-antillais,trap antillais
363,rap-marseille,rap marseille
364,old-school-rap-francais,old school rap francais
365,nice-indie,nice indie
366,electrofox,electrofox
367,french-indietronica,french indietronica
368,french-rock,french rock
