,id,uri,name,popularity,genres
98,2LZDXcxJWgsJfKXZv9a5eG,https://open.spotify.com/artist/2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,61,"downtempo,pop,post-teen-pop,shiver-pop"
99,0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,86,"dance-pop,pop,post-teen-pop"
100,2jku7tDXc6XoB6MO2hFuqg,https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,85,"canadian-hip-hop,canadian-trap,melodic-rap,pop-rap,r-b,rap,toronto-rap,trap"
101,3iri9nBFs9e4wN7PLIetAw,https://open.spotify.com/artist/3iri9nBFs9e4wN7PLIetAw,Garrett Nash,71,"electropop,pop,pop-rap,social-media-pop"
102,1QRj3hoop9Mv5VvHQkwPEp,https://open.spotify.com/artist/1QRj3hoop9Mv5VvHQkwPEp,Olivia O'Brien,74,"alt-z,dance-pop,electropop,indie-poptimism,pop,post-teen-pop"
103,46SHBwWsqBkxI7EeeBEQG7,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,Kodak Black,85,"florida-rap,hip-hop,melodic-rap,miami-hip-hop,rap,trap"
104,21WS9wngs9AqFckK7yYJPM,https://open.spotify.com/artist/21WS9wngs9AqFckK7yYJPM,PnB Rock,76,"melodic-rap,pop-rap,r-b,rap,southern-hip-hop,trap,vapor-trap"
105,2EMAnMvWE2eb56ToJVfCWs,https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,83,"kentucky-hip-hop,pop,pop-rap,r-b,rap,trap"
106,3Fdm9TFJQCLmC3AWMuGExi,https://open.spotify.com/artist/3Fdm9TFJQCLmC3AWMuGExi,Ugly God,59,"meme-rap,trap,underground-hip-hop,vapor-trap"
107,77tT1kLj6mCWtFNqiOmP9H,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,79,"album-rock,classic-rock,mellow-gold,rock,soft-rock,yacht-rock"
108,6nxWCVXbOlEVRexSbLsTer,https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer,Flume,75,"australian-dance,australian-electropop,australian-indie,downtempo,edm"
109,6xHUXzrfhFgnIv86EBR3Ml,https://open.spotify.com/artist/6xHUXzrfhFgnIv86EBR3Ml,kai,62,
110,5H6xmHXjsq98NLbEjuE29f,https://open.spotify.com/artist/5H6xmHXjsq98NLbEjuE29f,NEIKED,76,"scandipop,tropical-house"
111,4H1PNuHElBLVok0lnYMrRb,https://open.spotify.com/artist/4H1PNuHElBLVok0lnYMrRb,Dyo,53,alte
112,1Xylc3o4UrD53lo9CvFvVg,https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,79,"dance-pop,edm,electropop,pop,pop-dance,post-teen-pop,scandipop,swedish-electropop,swedish-pop,tropical-house"
113,3e7awlrlDSwF3iM0WBjGMp,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,Little Mix,84,"dance-pop,girl-group,pop,post-teen-pop,talent-show,uk-pop"
114,4f9iBmdUOhQWeP7dcAn1pf,https://open.spotify.com/artist/4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,73,neo-soul
115,1HBjj22wzbscIZ9sEb5dyf,https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,79,"dance-pop,edm,pop,pop-dance,tropical-house,uk-dance"
116,5KKpBU5eC2tJDzf0wmlRp2,https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2,RAYE,78,"dance-pop,edm,house,pop,pop-dance,post-teen-pop,tropical-house,uk-contemporary-r-b,uk-dance,uk-pop"
117,15NtJjjHRFybdNSMyM9smT,https://open.spotify.com/artist/15NtJjjHRFybdNSMyM9smT,Nevada,51,eurodance
118,6V3F8MZrOKdT9fU686ybE9,https://open.spotify.com/artist/6V3F8MZrOKdT9fU686ybE9,Mark Morrison,64,british-soul
119,6PXS4YHDkKvl1wkIl4V8DL,https://open.spotify.com/artist/6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,76,"new-jersey-rap,pop-rap,rap,southern-hip-hop,trap"
120,73Msd8rknjBghcGQiZ1mgh,https://open.spotify.com/artist/73Msd8rknjBghcGQiZ1mgh,Tom Zanetti,62,"deep-groove-house,house,pop-dance,uk-dance"
121,71THa7IZ29vVj9shu4DeyC,https://open.spotify.com/artist/71THa7IZ29vVj9shu4DeyC,Sadie Ama,47,bassline
122,4sTQVOfp9vEMCemLw50sbu,https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu,Galantis,79,"dance-pop,edm,electro-house,pop,pop-dance,tropical-house"
123,3iN9k8uvm4WrgdlOigOH8D,https://open.spotify.com/artist/3iN9k8uvm4WrgdlOigOH8D,Hook N Sling,61,australian-dance
124,4Q6nIcaBED8qUel8bBx6Cr,https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,79,"dance-pop,edm,electro-house,house,pop,pop-dance,pop-rap,tropical-house,uk-dance"
125,25uiPmTg16RbhZWAqwLBy5,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,Charli XCX,81,"art-pop,candy-pop,dance-pop,electropop,metropopolis,pop,post-teen-pop,uk-pop"
